Date,Dog,Handler,Cheetah,Negative 1,Rep Number,Number True Alerts,Number False Alerts,# of correct dismissals,# of misses,FA1 (s),FA2 (s),FA3 (s),FA4 (s),FA5 (s),FA6 (s),FA7 (s),FA8 (s)
5/9/2022,Madi,Edwin,CH3,LE1,1,1,0,1,0,,,,,,,,
5/9/2022,Madi,Edwin,CH3,LE1,2,1,0,0,0,,,,,,,,
5/9/2022,Madi,Edwin,CH3,LE1,3,1,0,0,0,,,,,,,,
5/9/2022,Madi,Edwin,none,LE1,4,1,0,0,0,,,,,,,,
5/9/2022,Madi,Edwin,CH3,LE1,5,1,0,1,0,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,1,0,1,0,0,43,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,2,1,0,0,0,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,3,0,1,0,1,53,18,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,4,1,0,0,0,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,5,1,0,1,0,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,6,1,0,2,1,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,7,1,0,0,0,,,,,,,,
5/9/2022,Persi,Edwin,CH3,LE1,8,1,0,0,0,0,,,,,,,
5/10/2022,Persi,Edwin,CH11,LE1,1,1,1,0,0,40,,,,,,,
5/10/2022,Persi,Edwin,CH11,LE1,2,1,0,1,0,,,,,,,,
5/10/2022,Persi,Edwin,CH11,LE1,3,1,0,1,0,,,,,,,,
5/10/2022,Persi,Edwin,CH11,LE1,4,1,1,0,1,12,,,,,,,
5/10/2022,Persi,Edwin,CH11,LE1,5,1,0,0,0,,,,,,,,
5/10/2022,Persi,Edwin,CH11,CA1,1,1,1,1,0,11,,,,,,,
5/10/2022,Persi,Edwin,CH11,CA1,2,1,1,0,0,26,,,,,,,
5/10/2022,Persi,Edwin,CH11,CA1,3,1,2,0,0,7,19,,,,,,
5/10/2022,Persi,Edwin,CH11,CA1,4,1,2,0,1,10,71,,,,,,
5/10/2022,Persi,Edwin,CH11,CA1,5,1,1,0,2,14,,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,1,1,0,0,0,,,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,2,1,0,0,0,,,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,3,0.5,2,0,1,31,13,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,4,1,1,0,0,29,,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,5,1,0,1,0,,,,,,,,
5/10/2022,Madi,Edwin,CH11,CA1,6,1,2,0,0,49,255,,,,,,
5/10/2022,Persi,Edwin,CH10,CA1,1,0,8,2,5,19,9,8,14,6,16,8,25
5/10/2022,Persi,Edwin,CH10,none,2,1,n/a,n/a,3,,,,,,,,
5/10/2022,Persi,Edwin,CH10,none,3,1,n/a,n/a,0,,,,,,,,
5/10/2022,Persi,Edwin,CH10,none,4,1,n/a,n/a,0,,,,,,,,
5/10/2022,Persi,Edwin,CH10,LE1,5,1,1,0,0,4,,,,,,,
5/10/2022,Persi,Edwin,CH10,LE1,6,1,0,1,0,,,,,,,,
5/10/2022,Persi,Edwin,CH10,LE1,7,1,1,0,0,3,,,,,,,
5/10/2022,Persi,Edwin,CH10,LE1,8,1,0,1.5,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,LI1,1,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,LI1,2,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,LI1,3,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,LI1,4,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,LI1,5,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,1,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,2,1,0,0,1,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,3,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,4,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,1,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,2,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,3,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,4,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,5,1,0,1,1,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,6,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,1,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,2,1,0,1,0,,,,,,,,
